term,estimate,std.error,statistic,p.value,conf.low,conf.high
Age.at.surgery..years.,1.0951758657056383,0.014451049239980534,6.29123579976572,3.1494849090103603e-10,1.0645917818701671,1.1266385832108265
original_shape_Maximum2DDiameterSlice,1.027354592425009,0.0037817516222808903,7.136148584392909,9.598225607798944e-13,1.0197678919686683,1.0349977351602913
original_glcm_DifferenceEntropy,0.5141557475110887,0.23253406312688785,-2.860781081954812,0.0042259875291576704,0.32595777269658166,0.8110134343836088
